Class,Precision,Recall,F1-Score,Support
1,0.7213930348258707,0.7323232323232324,0.7268170426065164,198.0
2,0.5888324873096447,0.5742574257425742,0.581453634085213,202.0
3,0.5602094240837696,0.5544041450777202,0.5572916666666666,193.0
4,0.4396135265700483,0.5321637426900585,0.48148148148148157,171.0
5,0.75,0.6483050847457628,0.6954545454545454,236.0
