,logistic_regression,svm,mlp,cnn,gradient_boosting,random_forest
Word2Vec,0.5250856667659146,0.5011601826270636,0.5057421776608609,0.3938261553007432,0.42076327207674546,0.3899132148272389
BERT,0.5761100779260473,0.5940109828646597,0.5744335068860205,0.45286255968852684,0.5004765043714892,0.4709765177934391
BART,0.5918721827948011,0.6220743152237165,0.566121186037457,0.4367212658782556,0.5190054189196753,0.5059479954297664
T5,0.5640814144006226,0.4373406629461338,0.590171993091088,0.2474560344617553,0.4710580752034832,0.4220516993101477
